Iteration,Map File Type, Map File Path, Map File custom attribute, String Sequence, Error Code, OutputMessages
1,BIN,C:\ST\JPacmanFuzz/fuzzresults/maps/actual_maps/\map_1.bin,N.A., SWE,10,No food 
2,BIN,C:\ST\JPacmanFuzz/fuzzresults/maps/actual_maps/\map_2.bin,N.A., SWE,10,No player is set 
3,BIN,C:\ST\JPacmanFuzz/fuzzresults/maps/actual_maps/\map_3.bin,N.A., SWE,10,No food 
4,ZIP,C:\ST\JPacmanFuzz\fuzzresults_lessons\fuzz3_filetypes\maps\Compressed_zip.zip,N.A., SWE,10,Error reading file by readAllLines 
5,TXT,C:\ST\JPacmanFuzz\fuzzresults_lessons\fuzz3_filetypes\maps\Emtpy_file_txt.txt,N.A., SWE,10,No lines 
6,TXT,C:\ST\JPacmanFuzz\fuzzresults_lessons\fuzz3_filetypes\maps\Encrypted_P.txt,N.A., SWE,10,Error reading file by readAllLines 
7,TXT,C:\ST\JPacmanFuzz\fuzzresults_lessons\fuzz3_filetypes\maps\FileName Space.txt,N.A., SWE,0,None
8,TXT,C:\ST\JPacmanFuzz\fuzzresults_lessons\fuzz3_filetypes\maps\FileName@SpecialCharacter.txt,N.A., SWE,0,None
9,TXT,C:\ST\JPacmanFuzz\fuzzresults_lessons\fuzz3_filetypes\maps\FileName_Normal.txt,N.A., SWE,0,None
10,TXT,C:\ST\JPacmanFuzz\fuzzresults_lessons\fuzz3_filetypes\maps\FileName象形MixedAlphabeth.txt,N.A., SWE,0,None
11,TXT,C:\ST\JPacmanFuzz\fuzzresults_lessons\fuzz3_filetypes\maps\Hidden_file.txt,N.A., SWE,0,None
12,TXT,C:\ST\JPacmanFuzz\fuzzresults_lessons\fuzz3_filetypes\maps\Massive_file.txt,N.A., SWE,10,Unknown character 
13,CSV,C:\ST\JPacmanFuzz\fuzzresults_lessons\fuzz3_filetypes\maps\Multiline_MP_F0_csv.csv,N.A., SWE,10,Unknown character 
14,DAT,C:\ST\JPacmanFuzz\fuzzresults_lessons\fuzz3_filetypes\maps\Multiline_MP_F0_dat.dat,N.A., SWE,10,Unknown character 
15,MAP,C:\ST\JPacmanFuzz\fuzzresults_lessons\fuzz3_filetypes\maps\Multiline_MP_F0_map.map,N.A., SWE,0,None
16,PDF,C:\ST\JPacmanFuzz\fuzzresults_lessons\fuzz3_filetypes\maps\Multiline_MP_F0_pdf.pdf,N.A., SWE,10,Error reading file by readAllLines 
17,XLSX,C:\ST\JPacmanFuzz\fuzzresults_lessons\fuzz3_filetypes\maps\Multiline_MP_F0_xlsx.xlsx,N.A., SWE,10,Error reading file by readAllLines 
